plot_id,longitude,latitude,Altitude,crop_type,planting_date,season,country,county
1,37.6122529,-0.499127,1252.08,maize,10/6/2021,Short Rains,Kenya,Embu
2,37.6402894,-0.4754511,1234.5,maize,11/10/2021,Short Rains,Kenya,Embu
3,37.6086503,-0.5351206,1226.4,maize,12/2/2021,Short Rains,Kenya,Embu
4,37.5027862,-0.3971582,1839.7,maize,11/6/2021,Short Rains,Kenya,Embu
5,37.6600589,-0.4509697,1234.53,maize,11/14/2021,Short Rains,Kenya,Embu
6,37.4846657,-0.5479202,1059.5,maize,10/21/2021,Short Rains,Kenya,Embu
7,37.634335,-0.5210633,1169.4,maize,10/5/2021,Short Rains,Kenya,Embu
8,37.4951411,-0.5306375,1345.7,maize,10/20/2021,Short Rains,Kenya,Embu
9,37.6264703,-0.5555633,1141.5,maize,10/15/2021,Short Rains,Kenya,Embu
10,37.6014033,-0.54254,1229.9,maize,10/20/2021,Short Rains,Kenya,Embu
11,37.6540533,-0.6187817,1089.5,maize,10/26/2021,Short Rains,Kenya,Embu
12,37.6195067,-0.6067483,1200.09,maize,10/20/2021,Short Rains,Kenya,Embu
13,37.6660462,-0.5095879,1202.5,maize,10/26/2021,Short Rains,Kenya,Embu
14,37.6599089,-0.5621306,1211.59,maize,10/26/2021,Short Rains,Kenya,Embu
15,37.6419367,-0.59156,1226.8,maize,10/26/2021,Short Rains,Kenya,Embu
16,37.6636333,-0.564285,1213.8,maize,10/24/2021,Short Rains,Kenya,Embu
17,37.6093317,-0.5287267,1240.2,maize,11/15/2021,Short Rains,Kenya,Embu
18,37.59201,-0.4761931,1300.39,maize,10/9/2021,Short Rains,Kenya,Embu
19,37.6929725,-0.4865779,1151,maize,10/18/2021,Short Rains,Kenya,Embu
20,37.6949336,-0.4884273,1119.89,maize,10/20/2021,Short Rains,Kenya,Embu
21,37.6410297,-0.4160818,1366.89,maize,10/29/2021,Short Rains,Kenya,Embu
22,37.6626795,-0.4421184,1123.79,maize,10/27/2021,Short Rains,Kenya,Embu
23,37.505875,-0.5597577,1248.1,maize,10/26/2021,Short Rains,Kenya,Embu
24,37.640303,-0.4757659,1228.98,maize,10/2/2021,Short Rains,Kenya,Embu
25,37.5146983,-0.5535467,1251.9,maize,10/26/2021,Short Rains,Kenya,Embu
26,37.6355233,-0.5126767,1180.2,maize,10/26/2021,Short Rains,Kenya,Embu
27,37.5477242,-0.4824847,1407.5,maize,10/21/2021,Short Rains,Kenya,Embu
28,37.6095081,-0.4540526,1324.41,maize,10/8/2021,Short Rains,Kenya,Embu
29,37.2597917,-0.7360546,1124.5,maize,10/28/2021,Short Rains,Kenya,Embu
30,37.4779844,-0.5698487,1263.77,maize,10/26/2021,Short Rains,Kenya,Embu
31,37.6497833,-0.5058367,1219.7,maize,10/25/2021,Short Rains,Kenya,Embu
32,37.6090932,-0.4545221,1330.98,maize,10/25/2021,Short Rains,Kenya,Embu
33,37.6157713,-0.5966838,1197.09,maize,10/24/2021,Short Rains,Kenya,Embu
34,37.5231383,-0.518685,1400.2,maize,10/20/2021,Short Rains,Kenya,Embu
35,37.5290533,-0.5665817,1217,maize,10/15/2021,Short Rains,Kenya,Embu
36,37.5377373,-0.5469031,1300.5,maize,10/18/2021,Short Rains,Kenya,Embu
37,37.5276633,-0.5383533,1282.2,maize,10/20/2021,Short Rains,Kenya,Embu
38,37.518547,-0.5408191,1270.5,maize,10/22/2021,Short Rains,Kenya,Embu
39,37.5064528,-0.5057719,1482.8,maize,10/22/2021,Short Rains,Kenya,Embu
40,37.541256,-0.5470645,1307.3,maize,10/26/2021,Short Rains,Kenya,Embu
41,37.5186867,-0.5297267,1344.8,maize,10/21/2021,Short Rains,Kenya,Embu
42,37.7350985,-0.4612064,1099.69,maize,11/16/2021,Short Rains,Kenya,Embu
43,37.5101333,-0.5095167,1459.1,maize,3/20/2021,Long Rains,Kenya,Embu
44,37.4931704,-0.5153353,1400.8,maize,10/19/2021,Short Rains,Kenya,Embu
45,37.504755,-0.4923017,1492.6,maize,10/23/2021,Short Rains,Kenya,Embu
46,37.6957356,-0.4892876,1115.77,maize,10/15/2021,Short Rains,Kenya,Embu
47,37.517165,-0.528585,1332.7,maize,10/20/2021,Short Rains,Kenya,Embu
