boxes_box1_gps,boxes_crop,boxes_planting_date,boxes_expected_harvest_date,country,boxes_farmer_district,wet_completed_time,wet_kgs_crop_box1,wet_kgs_crop_box2,dry_box1_dry_weight,dry_box2_dry_weight,Latitude,Longitude,Altitude,Accuracy
-0.499127 37.6122529 1252.08 7.62,maize,2021-10-06,2022-03-25,Kenya,Embu,2022-03-20,4.91,8.81,2.6,3.395,-0.499127,37.6122529,1252.08,7.62
-0.4754511 37.6402894 1234.5 9.73,maize,2021-11-10,2022-03-12,Kenya,Embu,2022-03-03,12.17,10.52,3.195,4.415,-0.4754511,37.6402894,1234.5,9.73
-0.5351206 37.6086503 1226.4 4.5,maize,2021-12-02,2022-02-26,Kenya,Embu,2022-02-23,1.245,1.575,0.495,0.535,-0.5351206,37.6086503,1226.4,4.5
-0.3971582 37.5027862 1839.7 5.25,maize,2021-11-06,2022-04-06,Kenya,Embu,2022-04-06,3.7,3.925,3.555,3.47,-0.3971582,37.5027862,1839.7,5.25
-0.4509697 37.6600589 1234.53 8.0,maize,2021-11-14,2022-04-01,Kenya,Embu,2022-03-25,4.645,4.815,3.605,3.695,-0.4509697,37.6600589,1234.53,8.0
-0.5479202 37.4846657 1059.5 4.88,maize,2021-10-21,2022-03-01,Kenya,Embu,2022-03-03,6.56,9.98,1.585,2.015,-0.5479202,37.4846657,1059.5,4.88
-0.5210633 37.634335 1169.4 3.9,maize,2021-10-05,2022-03-02,Kenya,Embu,2022-03-02,11.8,19.92,3.215,4.075,-0.5210633,37.634335,1169.4,3.9
-0.5306375 37.4951411 1345.7 4.75,maize,2021-10-20,2022-02-28,Kenya,Embu,2022-02-25,26.08,17.04,5.695,4.285,-0.5306375,37.4951411,1345.7,4.75
-0.5555633 37.6264703 1141.5 4.62,maize,2021-10-15,2022-02-23,Kenya,Embu,2022-02-10,24.5,21.32,12.77,10.44,-0.5555633,37.6264703,1141.5,4.62
-0.54254 37.6014033 1229.9 3.9,maize,2021-10-20,2022-03-21,Kenya,Embu,2022-02-23,6.415,1.145,2.785,0.525,-0.54254,37.6014033,1229.9,3.9
-0.6187817 37.6540533 1089.5 3.9,maize,2021-10-26,2022-02-27,Kenya,Embu,2022-02-24,3.305,8.615,1.825,4.945,-0.6187817,37.6540533,1089.5,3.9
-0.6067483 37.6195067 1200.09 4.0,maize,2021-10-20,2022-03-02,Kenya,Embu,2022-02-22,7.425,7.645,5.715,5.805,-0.6067483,37.6195067,1200.09,4.0
-0.5095879 37.6660462 1202.5 4.94,maize,2021-10-26,2022-02-26,Kenya,Embu,2022-02-23,15.56,10.98,9.215,7.415,-0.5095879,37.6660462,1202.5,4.94
-0.5621306 37.6599089 1211.59 4.63,maize,2021-10-26,2022-02-28,Kenya,Embu,2022-02-24,26.46,30.64,9.585,10.31,-0.5621306,37.6599089,1211.59,4.63
-0.59156 37.6419367 1226.8 3.9,maize,2021-10-26,2022-02-28,Kenya,Embu,2022-02-24,1.435,2.045,0.905,1.395,-0.59156,37.6419367,1226.8,3.9
-0.564285 37.6636333 1213.8 3.9,maize,2021-10-24,2022-02-26,Kenya,Embu,2022-02-24,14.78,27.6,4.525,8.545,-0.564285,37.6636333,1213.8,3.9
-0.5287267 37.6093317 1240.2 3.9,maize,2021-11-15,2022-02-23,Kenya,Embu,2022-02-23,1.825,0.055,0.845,0.045,-0.5287267,37.6093317,1240.2,3.9
-0.4761931 37.59201 1300.39 4.0,maize,2021-10-09,2022-04-08,Kenya,Embu,2022-03-20,8.57,9.41,2.8,2.5,-0.4761931,37.59201,1300.39,4.0
-0.4865779 37.6929725 1151.0 3.9,maize,2021-10-18,2022-02-20,Kenya,Embu,2022-02-20,16.51,10.02,3.575,2.9,-0.4865779,37.6929725,1151.0,3.9
-0.4884273 37.6949336 1119.89 9.0,maize,2021-10-20,2022-03-02,Kenya,Embu,2022-02-28,10.02,8.925,3.055,3.495,-0.4884273,37.6949336,1119.89,9.0
-0.4160818 37.6410297 1366.89 8.23,maize,2021-10-29,2022-04-01,Kenya,Embu,2022-03-24,6.065,7.805,3.385,3.945,-0.4160818,37.6410297,1366.89,8.23
-0.4421184 37.6626795 1123.79 6.0,maize,2021-10-27,2022-03-15,Kenya,Embu,2022-03-24,5.95,8.395,4.615,4.855,-0.4421184,37.6626795,1123.79,6.0
-0.5597577 37.505875 1248.1 9.64,maize,2021-10-26,2022-02-28,Kenya,Embu,2022-02-21,13.69,9.765,7.555,5.055,-0.5597577,37.505875,1248.1,9.64
-0.4757659 37.640303 1228.98 4.5,maize,2021-10-02,2022-03-02,Kenya,Embu,2022-02-25,16.46,15.66,4.935,4.945,-0.4757659,37.640303,1228.98,4.5
-0.5535467 37.5146983 1251.9 4.59,maize,2021-10-26,2022-02-27,Kenya,Embu,2022-03-04,1.055,2.235,0.605,1.515,-0.5535467,37.5146983,1251.9,4.59
-0.5126767 37.6355233 1180.2 4.59,maize,2021-10-26,2022-02-28,Kenya,Embu,2022-02-23,11.04,12.79,7.585,6.685,-0.5126767,37.6355233,1180.2,4.59
